sample_number, vin1_plus, vin1_minus, digital_code, digital_code(radix 10)
105, 3.500000, 1.43307, 110100101100, 2.066930, 3372
106, 3.500000, 1.43815, 110100100110, 2.061850, 3366
107, 3.500000, 1.44322, 110100100000, 2.056780, 3360
108, 3.500000, 1.4483, 110100011010, 2.051700, 3354
109, 3.500000, 1.45338, 110100010101, 2.046620, 3349
110, 3.500000, 1.45846, 110100001111, 2.041540, 3343
111, 3.500000, 1.46354, 110100001001, 2.036460, 3337
112, 3.500000, 1.46861, 110100000011, 2.031390, 3331
113, 3.500000, 1.47369, 110011111101, 2.026310, 3325
114, 3.500000, 1.47877, 110011110111, 2.021230, 3319
115, 3.500000, 1.48385, 110011110010, 2.016150, 3314
116, 3.500000, 1.48893, 110011101100, 2.011070, 3308
117, 3.500000, 1.494, 110011100110, 2.006000, 3302
118, 3.500000, 1.49908, 110011100000, 2.000920, 3296
119, 3.500000, 1.50416, 110011011010, 1.995840, 3290
120, 3.500000, 1.50924, 110011010101, 1.990760, 3285
121, 3.500000, 1.51432, 110011001111, 1.985680, 3279
122, 3.500000, 1.5194, 110011001001, 1.980600, 3273
123, 3.500000, 1.52447, 110011000011, 1.975530, 3267
124, 3.500000, 1.52955, 110010111101, 1.970450, 3261
125, 3.500000, 1.53463, 110010111000, 1.965370, 3256
126, 3.500000, 1.53971, 110010110010, 1.960290, 3250
127, 3.500000, 1.54479, 110010101100, 1.955210, 3244
128, 3.500000, 1.54986, 110010100110, 1.950140, 3238
129, 3.500000, 1.55494, 110010100000, 1.945060, 3232
130, 3.500000, 1.56002, 110010011011, 1.939980, 3227
131, 3.500000, 1.5651, 110010010101, 1.934900, 3221
132, 3.500000, 1.57018, 110010001111, 1.929820, 3215
133, 3.500000, 1.57525, 110010001001, 1.924750, 3209
134, 3.500000, 1.58033, 110010000011, 1.919670, 3203
135, 3.500000, 1.58541, 110001111110, 1.914590, 3198
136, 3.500000, 1.59049, 110001111000, 1.909510, 3192
137, 3.500000, 1.59557, 110001110010, 1.904430, 3186
138, 3.500000, 1.60065, 110001101100, 1.899350, 3180
139, 3.500000, 1.60572, 110001100110, 1.894280, 3174
140, 3.500000, 1.6108, 110001100001, 1.889200, 3169
141, 3.500000, 1.61588, 110001011011, 1.884120, 3163
142, 3.500000, 1.62096, 110001010101, 1.879040, 3157
143, 3.500000, 1.62604, 110001001111, 1.873960, 3151
144, 3.500000, 1.63111, 110001001001, 1.868890, 3145
145, 3.500000, 1.63619, 110001000011, 1.863810, 3139
146, 3.500000, 1.64127, 110000111110, 1.858730, 3134
147, 3.500000, 1.64635, 110000111000, 1.853650, 3128
148, 3.500000, 1.65143, 110000110010, 1.848570, 3122
149, 3.500000, 1.6565, 110000101100, 1.843500, 3116
150, 3.500000, 1.66158, 110000100110, 1.838420, 3110
151, 3.500000, 1.66666, 110000100001, 1.833340, 3105
152, 3.500000, 1.67174, 110000011011, 1.828260, 3099
153, 3.500000, 1.67682, 110000010101, 1.823180, 3093
154, 3.500000, 1.6819, 110000001111, 1.818100, 3087
155, 3.500000, 1.68697, 110000001010, 1.813030, 3082
156, 3.500000, 1.69205, 110000000100, 1.807950, 3076
157, 3.500000, 1.69713, 101101100011, 1.802870, 2915
158, 3.500000, 1.70221, 101101011101, 1.797790, 2909
159, 3.500000, 1.70729, 101101011000, 1.792710, 2904
160, 3.500000, 1.71236, 101101010010, 1.787640, 2898
161, 3.500000, 1.71744, 101101001100, 1.782560, 2892
162, 3.500000, 1.72252, 101101000110, 1.777480, 2886
163, 3.500000, 1.7276, 101101000000, 1.772400, 2880
164, 3.500000, 1.73268, 101100111010, 1.767320, 2874
165, 3.500000, 1.73775, 101100110101, 1.762250, 2869
166, 3.500000, 1.74283, 101100101111, 1.757170, 2863
167, 3.500000, 1.74791, 101100101001, 1.752090, 2857
168, 3.500000, 1.75299, 101100100011, 1.747010, 2851
169, 3.500000, 1.75807, 101100011101, 1.741930, 2845
170, 3.500000, 1.76315, 101100011000, 1.736850, 2840
171, 3.500000, 1.76822, 101100010010, 1.731780, 2834
172, 3.500000, 1.7733, 101100001100, 1.726700, 2828
173, 3.500000, 1.77838, 101100000110, 1.721620, 2822
174, 3.500000, 1.78346, 101100000000, 1.716540, 2816
175, 3.500000, 1.78854, 101011111010, 1.711460, 2810
176, 3.500000, 1.79361, 101011110101, 1.706390, 2805
177, 3.500000, 1.79869, 101011101111, 1.701310, 2799
178, 3.500000, 1.80377, 101011101001, 1.696230, 2793
179, 3.500000, 1.80885, 101011100011, 1.691150, 2787
180, 3.500000, 1.81393, 101011011101, 1.686070, 2781
181, 3.500000, 1.819, 101011011000, 1.681000, 2776
182, 3.500000, 1.82408, 101011010010, 1.675920, 2770
183, 3.500000, 1.82916, 101011001100, 1.670840, 2764
184, 3.500000, 1.83424, 101011000110, 1.665760, 2758
185, 3.500000, 1.83932, 101011000000, 1.660680, 2752
186, 3.500000, 1.8444, 101010111010, 1.655600, 2746
187, 3.500000, 1.84947, 101010110101, 1.650530, 2741
188, 3.500000, 1.85455, 101010101111, 1.645450, 2735
189, 3.500000, 1.85963, 101010101001, 1.640370, 2729
190, 3.500000, 1.86471, 101010100011, 1.635290, 2723
191, 3.500000, 1.86979, 101010011101, 1.630210, 2717
192, 3.500000, 1.87486, 101010011000, 1.625140, 2712
193, 3.500000, 1.87994, 101010010010, 1.620060, 2706
194, 3.500000, 1.88502, 101010001100, 1.614980, 2700
195, 3.500000, 1.8901, 101010000110, 1.609900, 2694
196, 3.500000, 1.89518, 101010000000, 1.604820, 2688
197, 3.500000, 1.90025, 101001111011, 1.599750, 2683
198, 3.500000, 1.90533, 101001110101, 1.594670, 2677
