sample number, VIN1+(V), VIN1-(V)
sample number, VIN1+(V), VIN1-(V)
210, 3.500000,  1.96627 
211, 3.500000,  1.97135 
212, 3.500000,  1.97643 
213, 3.500000,  1.9815 
214, 3.500000,  1.98658 
215, 3.500000,  1.99166 
216, 3.500000,  1.99674 
217, 3.500000,  2.00182 
218, 3.500000,  2.0069 
219, 3.500000,  2.01197 
220, 3.500000,  2.01705 
221, 3.500000,  2.02213 
222, 3.500000,  2.02721 
223, 3.500000,  2.03229 
224, 3.500000,  2.03736 
225, 3.500000,  2.04244 
226, 3.500000,  2.04752 
227, 3.500000,  2.0526 
228, 3.500000,  2.05768 
229, 3.500000,  2.06275 
230, 3.500000,  2.06783 
231, 3.500000,  2.07291 
232, 3.500000,  2.07799 
233, 3.500000,  2.08307 
234, 3.500000,  2.08815 
235, 3.500000,  2.09322 
236, 3.500000,  2.0983 
237, 3.500000,  2.10338 
238, 3.500000,  2.10846 
239, 3.500000,  2.11354 
240, 3.500000,  2.11861 
241, 3.500000,  2.12369 
242, 3.500000,  2.12877 
243, 3.500000,  2.13385 
244, 3.500000,  2.13893 
245, 3.500000,  2.144 
246, 3.500000,  2.14908 
247, 3.500000,  2.15416 
248, 3.500000,  2.15924 
249, 3.500000,  2.16432 
250, 3.500000,  2.1694 
251, 3.500000,  2.17447 
252, 3.500000,  2.17955 
253, 3.500000,  2.18463 
254, 3.500000,  2.18971 
255, 3.500000,  2.19479 
256, 3.500000,  2.19986 
257, 3.500000,  2.20494 
258, 3.500000,  2.21002 
259, 3.500000,  2.2151 
260, 3.500000,  2.22018 
261, 3.500000,  2.22525 
262, 3.500000,  2.23033 
263, 3.500000,  2.23541 
264, 3.500000,  2.24049 
265, 3.500000,  2.24557 
266, 3.500000,  2.25065 
267, 3.500000,  2.25572 
268, 3.500000,  2.2608 
269, 3.500000,  2.26588 
270, 3.500000,  2.27096 
271, 3.500000,  2.27604 
272, 3.500000,  2.28111 
273, 3.500000,  2.28619 
274, 3.500000,  2.29127 
275, 3.500000,  2.29635 
276, 3.500000,  2.30143 
277, 3.500000,  2.3065 
278, 3.500000,  2.31158 
279, 3.500000,  2.31666 
280, 3.500000,  2.32174 
281, 3.500000,  2.32682 
282, 3.500000,  2.3319 
283, 3.500000,  2.33697 
284, 3.500000,  2.34205 
285, 3.500000,  2.34713 
286, 3.500000,  2.35221 
287, 3.500000,  2.35729 
288, 3.500000,  2.36236 
289, 3.500000,  2.36744 
290, 3.500000,  2.37252 
291, 3.500000,  2.3776 
